instrument_id,side,rank,depth_distance_ticks,exposure_count,hit_count,hit_probability,visibility_observation_count,visibility_covariance,protection_component,visibility_component,raw_weight,kernel_weight,kappa_hat_side,lambda_hat_side,kappa_hat_instrument,lambda_hat_instrument
NEXI,ask,1,1.0,243333,76067,0.31260453781443537,243219,1.1651836974871737e-6,0.6873954621855647,1.1651836974871737e-6,8.00941986265281e-7,0.0002819930393253125,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,26.00000000000311,355,0,0.0,354,0.000019715569978880903,1.0,0.000019715569978880903,0.000019715569978880903,0.006941393503791289,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,299.00000000003286,2,0,0.0,2,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,4.000000000000444,779,32,0.0410783055198973,709,0.000013539242543340213,0.9589216944801027,0.000013539242543340213,0.000012983073401636892,0.004571038091513661,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,3.0,1583,333,0.21036007580543273,1583,0.000023493454490919536,0.7896399241945673,0.000023493454490919536,0.00001855136962327822,0.006531505643884198,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,14.000000000001332,28,0,0.0,28,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,470.00000000005195,3,0,0.0,2,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,2.0,178139,23357,0.131116712230337,178108,6.575347368825879e-6,0.8688832877696631,6.575347368825879e-6,5.713209440053034e-6,0.002011488125144949,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,2.000000000000444,60088,7538,0.12544934096658233,60082,0.000010300566350477256,0.8745506590334177,0.000010300566350477256,9.00836709022733e-6,0.0031716364714209793,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,4.0,99,22,0.2222222222222222,99,0.00007341004590089248,0.7777777777777778,0.00007341004590089248,0.000057096702367360816,0.02010242053997161,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,12.000000000000888,210,0,0.0,210,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,3.000000000000444,1574,314,0.19949174078780177,1574,0.00003896545636687823,0.8005082592121983,0.00003896545636687823,0.00003119216964565856,0.010982037241604521,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,312.0000000000342,2,0,0.0,2,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,5.000000000000444,85,0,0.0,85,0.00003882928497602869,1.0,0.00003882928497602869,0.00003882928497602869,0.013670887870763211,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,6.000000000000888,8,0,0.0,8,0.0000865748819392196,1.0,0.0000865748819392196,0.0000865748819392196,0.03048100175283433,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,6.000000000000444,39,0,0.0,39,0.000029785537080278655,1.0,0.000029785537080278655,0.000029785537080278655,0.010486794640857578,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,9.000000000000888,27,0,0.0,27,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,15.000000000001776,3,0,0.0,3,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,246.00000000002666,1,0,0.0,0,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,47.00000000000489,2,0,0.0,0,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,15.000000000001332,73,0,0.0,73,0.000039892191278802087,1.0,0.000039892191278802087,0.000039892191278802087,0.014045112451290852,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,7.000000000000888,3,0,0.0,3,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,8.000000000000444,4,0,0.0,4,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,7.000000000000444,2,0,0.0,2,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,221.00000000002441,8,0,0.0,8,7.680192491992174e-8,1.0,7.680192491992174e-8,7.680192491992174e-8,0.000027040170955690097,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,8.000000000000888,1,0,0.0,1,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,23.000000000002665,3,0,0.0,3,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,10.000000000001332,2,0,0.0,2,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,16.000000000001776,81,0,0.0,81,0.00026477469163913725,1.0,0.00026477469163913725,0.00026477469163913725,0.09322100890215157,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,21.00000000000222,2,0,0.0,2,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,11.000000000001332,3,0,0.0,3,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,14.000000000001776,2,0,0.0,2,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,20.00000000000222,1,0,0.0,1,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,51.00000000000578,100,0,0.0,100,0.000010806820795820188,1.0,0.000010806820795820188,0.000010806820795820188,0.003804830179857718,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,96.00000000001022,7,0,0.0,7,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,12.000000000001332,1,0,0.0,1,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,17.000000000001776,2,0,0.0,2,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,51.00000000000533,5,0,0.0,5,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,13.000000000001332,1,0,0.0,1,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,2,19.00000000000222,3,0,0.0,3,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,12.000000000001332,3,0,0.0,3,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,299.00000000003286,8,0,0.0,8,7.310062733341942e-8,1.0,7.310062733341942e-8,7.310062733341942e-8,0.000025737030186741152,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,7.000000000000888,105,0,0.0,92,0.000019248065547987522,1.0,0.000019248065547987522,0.000019248065547987522,0.006776796070236331,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,316.0000000000346,2,0,0.0,2,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,14.000000000001332,163,0,0.0,162,0.000012373572132929698,1.0,0.000012373572132929698,0.000012373572132929698,0.004356446874942766,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,20.00000000000222,3,0,0.0,3,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,51.00000000000533,1,0,0.0,0,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,216.00000000002353,5,0,0.0,5,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,6.000000000000444,193,9,0.046632124352331605,193,9.71468629098019e-6,0.9533678756476685,9.71468629098019e-6,9.261669831815311e-6,0.003260818473606804,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,4.000000000000444,2387,281,0.11772098868873063,2387,0.000031971321740860194,0.8822790113112694,0.000031971321740860194,0.000028207626135840624,0.009931248907662142,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,19.00000000000222,2,0,0.0,2,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,96.00000000001022,1,0,0.0,1,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,15.000000000001776,30,0,0.0,30,0.00003496780405431562,1.0,0.00003496780405431562,0.00003496780405431562,0.012311350276176532,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,516.0000000000568,3,0,0.0,2,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,95.00000000001022,4,0,0.0,4,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,4.0,1421,74,0.05207600281491907,1421,0.00004581988066782299,0.9479239971850809,0.00004581988066782299,0.00004343376443318619,0.01529201796370449,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,17.000000000001776,7,0,0.0,7,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,13.000000000001332,112,0,0.0,112,2.6591905927544036e-6,1.0,2.6591905927544036e-6,2.6591905927544036e-6,0.0009362391412300455,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,16.000000000001776,3,0,0.0,3,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,101.0000000000111,20,0,0.0,20,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,3.000000000000444,118499,7960,0.06717356264609828,118481,2.6021409854127333e-6,0.9328264373539017,2.6021409854127333e-6,2.427345904915131e-6,0.0008546120205442151,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,14.000000000001776,1,0,0.0,1,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,87.00000000000978,80,0,0.0,80,5.900809994623648e-6,1.0,5.900809994623648e-6,5.900809994623648e-6,0.002077537915853461,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,21.00000000000222,1,0,0.0,1,0.0,1.0,1e-12,1e-12,3.520767348459533e-10,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,3.0,118938,7779,0.06540382384099279,118919,3.2840113041337263e-6,0.9345961761590073,3.2840113041337263e-6,3.0692244073063353e-6,0.0010806025078339207,0.2052138670271845,0.0,0.4503861032322223,0.0
NEXI,ask,3,9.000000000000888,129,0,0.0,73,4.017652272895484e-6,1.0,4.017652272895484e-6,4.017652272895484e-6,0.001414521893987465,0.2052138670271845,0.0,0.4503861032322223,0.0
