instrument,client_id,matched_cluster_count,max_withdrawal_to_fill_ratio,positive_fpm_mid_share,positive_reversion_mid_share
Risanamento,17295,17,39.8,0.4117647058823529,0.11764705882352941
Risanamento,1000004133,3,11.0,0.0,0.0
Risanamento,46416,1,0.8162732229731936,1.0,0.0
Nexi,23523,252,1200.0,0.6468253968253969,0.25396825396825395
Nexi,31425,11,7.09901768172888,0.09090909090909091,0.18181818181818182
Nexi,1000019,10,70.2741935483871,0.7,0.5
Ferrari,23523,162,46.0,0.6728395061728395,0.30246913580246915
Ferrari,2902791,9,1.0,0.2222222222222222,0.3333333333333333
Ferrari,10250181,4,2.142857142857143,0.25,0.0
