instrument_id,side,rank,depth_distance_ticks,exposure_count,hit_count,hit_probability,visibility_observation_count,visibility_covariance,protection_component,visibility_component,raw_weight,kernel_weight,kappa_hat_side,lambda_hat_side,kappa_hat_instrument,lambda_hat_instrument
FERRARI,ask,1,1.0,481798,111927,0.23231105151951648,481433,0.0001985801191206663,0.7676889484804835,0.0001985801191206663,0.00015244776283687348,0.00011976651920765057,1.0474478223498909,0.027200465512454298,1.050697579916138,0.203695021361225
FERRARI,ask,2,22.00000000000739,5,0,0.0,5,0.0,1.0,1e-12,1e-12,7.856233307654804e-13,1.0474478223498909,0.027200465512454298,1.050697579916138,0.203695021361225
FERRARI,ask,2,10.000000000002842,3,0,0.0,3,0.0,1.0,1e-12,1e-12,7.856233307654804e-13,1.0474478223498909,0.027200465512454298,1.050697579916138,0.203695021361225
FERRARI,ask,2,128.0000000000432,1,0,0.0,1,0.0,1.0,1e-12,1e-12,7.856233307654804e-13,1.0474478223498909,0.027200465512454298,1.050697579916138,0.203695021361225
FERRARI,ask,2,28.000000000009095,3,0,0.0,3,0.0,1.0,1e-12,1e-12,7.856233307654804e-13,1.0474478223498909,0.027200465512454298,1.050697579916138,0.203695021361225
FERRARI,ask,2,9.000000000002842,1,0,0.0,1,0.0,1.0,1e-12,1e-12,7.856233307654804e-13,1.0474478223498909,0.027200465512454298,1.050697579916138,0.203695021361225
FERRARI,ask,2,7.000000000002274,1,0,0.0,1,0.0,1.0,1e-12,1e-12,7.856233307654804e-13,1.0474478223498909,0.027200465512454298,1.050697579916138,0.203695021361225
FERRARI,ask,2,7.000000000001705,3,0,0.0,3,0.0,1.0,1e-12,1e-12,7.856233307654804e-13,1.0474478223498909,0.027200465512454298,1.050697579916138,0.203695021361225
FERRARI,ask,2,3.000000000001137,51,8,0.1568627450980392,51,0.0004823509392084102,0.8431372549019608,0.0004823509392084102,0.00040668804678356156,0.00031950361789660916,1.0474478223498909,0.027200465512454298,1.050697579916138,0.203695021361225
FERRARI,ask,2,4.000000000000568,8,0,0.0,8,0.0023207039530020127,1.0,0.0023207039530020127,0.0023207039530020127,0.001823199169278058,1.0474478223498909,0.027200465512454298,1.050697579916138,0.203695021361225
FERRARI,ask,2,8.000000000002274,7,0,0.0,7,0.24985502660054118,1.0,0.24985502660054118,0.24985502660054118,0.19629193820641488,1.0474478223498909,0.027200465512454298,1.050697579916138,0.203695021361225
FERRARI,ask,2,5.000000000001705,1,0,0.0,1,0.0,1.0,1e-12,1e-12,7.856233307654804e-13,1.0474478223498909,0.027200465512454298,1.050697579916138,0.203695021361225
FERRARI,ask,2,2.0,183999,12663,0.06882102620122936,183938,7.055829142477112e-6,0.9311789737987707,7.055829142477112e-6,6.570239740191297e-6,5.161733628616812e-6,1.0474478223498909,0.027200465512454298,1.050697579916138,0.203695021361225
FERRARI,ask,2,3.0000000000005684,816,75,0.09191176470588236,815,0.02279526926264111,0.9080882352941176,0.02279526926264111,0.020700115837766007,0.016262493951697005,1.0474478223498909,0.027200465512454298,1.050697579916138,0.203695021361225
FERRARI,ask,2,6.000000000001705,78,0,0.0,50,0.01895663425203049,1.0,0.01895663425203049,0.01895663425203049,0.014892774141183186,1.0474478223498909,0.027200465512454298,1.050697579916138,0.203695021361225
FERRARI,ask,2,4.000000000001137,107,8,0.07476635514018691,107,0.005366143237499062,0.9252336448598131,0.005366143237499062,0.004964936266471095,0.0039005697667033505,1.0474478223498909,0.027200465512454298,1.050697579916138,0.203695021361225
FERRARI,ask,2,2.0000000000005684,296018,20808,0.07029302272159126,295747,0.00012823205381776282,0.9297069772784088,0.00012823205381776282,0.0001192182351451145,0.00009366062698268712,1.0474478223498909,0.027200465512454298,1.050697579916138,0.203695021361225
FERRARI,ask,2,5.000000000001137,42,0,0.0,42,0.025116933068715784,1.0,0.025116933068715784,0.025116933068715784,0.019732448616058135,1.0474478223498909,0.027200465512454298,1.050697579916138,0.203695021361225
FERRARI,ask,2,11.00000000000341,632,0,0.0,630,0.09509435188131038,1.0,0.09509435188131038,0.09509435188131038,0.07470834146197969,1.0474478223498909,0.027200465512454298,1.050697579916138,0.203695021361225
FERRARI,ask,2,21.00000000000682,19,0,0.0,19,0.0,1.0,1e-12,1e-12,7.856233307654804e-13,1.0474478223498909,0.027200465512454298,1.050697579916138,0.203695021361225
FERRARI,ask,3,7.000000000001705,2,0,0.0,2,0.005684790063744227,1.0,0.005684790063744227,0.005684790063744227,0.004466103704581247,1.0474478223498909,0.027200465512454298,1.050697579916138,0.203695021361225
