instrument_id,side,rank,depth_distance_ticks,exposure_count,hit_count,hit_probability,visibility_observation_count,visibility_covariance,protection_component,visibility_component,raw_weight,kernel_weight,kappa_hat_side,lambda_hat_side,kappa_hat_instrument,lambda_hat_instrument
FERRARI,ask,1,1.0,481798,260577,0.5408428428511534,481746,0.0001988434302036476,0.45915715714884664,0.0001988434302036476,0.00009130038413003194,0.00006720572837031979,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,2,22.00000000000739,5,0,0.0,5,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,2,10.000000000002842,3,0,0.0,3,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,2,128.0000000000432,1,0,0.0,1,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,2,28.000000000009095,3,0,0.0,3,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,2,9.000000000002842,1,0,0.0,1,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,2,7.000000000002274,1,0,0.0,1,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,2,7.000000000001705,3,0,0.0,3,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,2,3.000000000001137,51,23,0.45098039215686275,51,0.0007817608737942869,0.5490196078431373,0.0007817608737942869,0.00042920204835764775,0.00031593335069464234,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,2,4.000000000000568,8,2,0.25,8,0.015579533640595378,0.75,0.015579533640595378,0.011684650230446535,0.008601009042537855,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,2,8.000000000002274,7,0,0.0,7,0.24985502660054118,1.0,0.24985502660054118,0.24985502660054118,0.1839169594923053,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,2,5.000000000001705,1,0,0.0,1,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,2,2.0,183999,44010,0.23918608253305723,183998,0.00009799907504822123,0.7608139174669428,0.00009799907504822123,0.00007455906019557411,0.000054882528642087585,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,2,3.0000000000005684,816,161,0.19730392156862744,816,0.02506435905048389,0.8026960784313726,0.02506435905048389,0.0201190627182193,0.014809535326602367,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,2,6.000000000001705,78,0,0.0,61,0.019373196245210098,1.0,0.019373196245210098,0.019373196245210098,0.014260506972962654,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,2,4.000000000001137,107,16,0.14953271028037382,107,0.015886734050312556,0.8504672897196262,0.015886734050312556,0.013511147650265818,0.009945484102912629,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,2,2.0000000000005684,296018,75151,0.2538730752859623,295988,0.00017480474131447433,0.7461269247140376,0.00017480474131447433,0.0001304265240624016,0.00009600627239354064,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,2,5.000000000001137,42,2,0.047619047619047616,42,0.025471262334981832,0.9523809523809523,0.025471262334981832,0.024258345080935075,0.017856439113124636,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,2,11.00000000000341,632,0,0.0,630,0.09509435188131038,1.0,0.09509435188131038,0.09509435188131038,0.06999844790340554,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,2,21.00000000000682,19,0,0.0,19,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,7.000000000001705,2,0,0.0,2,0.03126634535060456,1.0,0.03126634535060456,0.03126634535060456,0.023014990931173495,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,128.0000000000432,2,0,0.0,2,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,5.000000000001705,288,12,0.041666666666666664,272,0.005643571801303986,0.9583333333333334,0.005643571801303986,0.005408422976249654,0.003981111458807874,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,8.000000000002274,4,0,0.0,4,0.045045074247272984,1.0,0.045045074247272984,0.045045074247272984,0.03315744016992951,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,5.000000000001137,121,4,0.03305785123966942,121,0.007566918928913246,0.9669421487603306,0.007566918928913246,0.007316772848618594,0.0053858376752419935,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,4.000000000001137,1572,91,0.05788804071246819,1571,0.007415817627993466,0.9421119592875318,0.007415817627993466,0.006986530475227941,0.005142748016266928,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,6.000000000001705,598,2,0.0033444816053511705,587,0.16276830541748497,0.9966555183946488,0.16276830541748497,0.162223929814082,0.11941217406844229,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,7.000000000002274,77,0,0.0,60,0.002261909079549042,1.0,0.002261909079549042,0.002261909079549042,0.0016649792730557686,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,15.000000000004547,30,0,0.0,30,0.08678922540196483,1.0,0.08678922540196483,0.08678922540196483,0.06388508836422645,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,69.0000000000233,1,0,0.0,1,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,9.000000000002842,5,0,0.0,5,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,11.00000000000341,3,0,0.0,3,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,3.000000000001137,96177,9406,0.0977988500369111,96177,0.000053102911730293856,0.9022011499630889,0.000053102911730293856,0.000047909508029459516,0.0000352659346799441,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,28.000000000009095,2,0,0.0,2,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,21.00000000000682,618,0,0.0,616,0.013682094839150234,1.0,0.013682094839150234,0.013682094839150234,0.010071317421702104,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,19.000000000006253,2,0,0.0,2,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,12.000000000003979,7,0,0.0,7,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,22.00000000000739,19,0,0.0,19,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,3.0000000000005684,381956,41053,0.10748096639403491,381953,0.0002393225165207466,0.8925190336059651,0.0002393225165207466,0.00021359990116524437,0.00015722975400841335,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,18.000000000005684,2,0,0.0,2,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,24.000000000007958,5,0,0.0,5,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,4.000000000000568,209,49,0.23444976076555024,209,0.0057833908300296485,0.7655502392344498,0.0057833908300296485,0.004427476233515521,0.003259041765825554,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,17.000000000005684,1,0,0.0,1,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,13.000000000003979,1,0,0.0,1,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,3,10.000000000002842,92,0,0.0,92,0.014354642236029608,1.0,0.014354642236029608,0.014354642236029608,0.010566375992391878,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,12.000000000003979,3,0,0.0,3,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,7.000000000002274,521,0,0.0,510,2.0287120014280473e-7,1.0,2.0287120014280473e-7,2.0287120014280473e-7,1.4933241410616777e-7,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,5.000000000001137,844,60,0.07109004739336493,843,0.017824099632428564,0.9289099526066351,0.017824099632428564,0.01655698354481516,0.012187507745421279,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,18.000000000005684,1,0,0.0,1,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,13.000000000003979,7,0,0.0,7,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,5.000000000001705,606,13,0.02145214521452145,606,0.002419612805477461,0.9785478547854786,0.002419612805477461,0.002367706920211443,0.0017428565022643242,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,31.000000000010232,595,0,0.0,593,0.040742872219001844,1.0,0.040742872219001844,0.040742872219001844,0.029990612081950817,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,69.0000000000233,2,0,0.0,2,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,19.000000000006253,2,0,0.0,2,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,24.000000000007958,19,0,0.0,19,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,8.000000000002274,31,0,0.0,31,0.014187727920583156,1.0,0.014187727920583156,0.014187727920583156,0.01044351125034396,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,4.000000000001137,388598,19046,0.049012089614460186,388596,0.0003273415159998309,0.9509879103855399,0.0003273415159998309,0.00031129782428311397,0.0002291446768859852,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,4.000000000000568,89236,4308,0.04827648034425568,89235,0.00006406499078492164,0.9517235196557443,0.00006406499078492164,0.00006097215851653845,0.00004488128240050517,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,21.00000000000682,2,0,0.0,2,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,22.00000000000739,18,0,0.0,18,0.00023629214614700125,1.0,0.00023629214614700125,0.00023629214614700125,0.00017393339514736736,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,23.00000000000739,5,0,0.0,5,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,15.000000000004547,1,0,0.0,1,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,7.000000000001705,12,2,0.16666666666666666,12,0.0037473572394383487,0.8333333333333334,0.0037473572394383487,0.003122797699531957,0.0022986748188408837,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,17.000000000005684,1,0,0.0,1,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,11.00000000000341,1,0,0.0,1,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,276.0000000000938,1,0,0.0,1,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,27.000000000009095,1,0,0.0,1,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,9.000000000002842,1,0,0.0,1,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,10.00000000000341,74,0,0.0,57,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,28.000000000009095,1,0,0.0,1,0.0,1.0,1e-12,1e-12,7.360946945700029e-13,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
FERRARI,ask,4,25.000000000007958,31,0,0.0,31,0.04615372535836689,1.0,0.04615372535836689,0.04615372535836689,0.03397351237093487,0.8643612550191823,0.0,0.8666729216923371,0.14947287755724561
